State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,4348,155,1227,141363,16563,113549,3125,103,469789,61.75,56.59,43.41,52.9,47.1
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,5138,48,1698,152851,16153,113683,16808,251,427521,70.99,56.03,43.97,53.45,46.55
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,10042,454,19358,906408,35063,349662,6844,278,1090815,60.5,57.6,42.4,52.81,47.19
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,14428,405,176587,1074332,49386,411216,27667,812,1002874,71.13,55.52,44.48,52.76,47.24
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,13747,3476,14968,1000743,59253,319930,23089,531,538208,75.61,53.17,46.83,50.99,49.01
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,39082,11385,26016,1394329,79140,446200,30233,805,718363,73.97,54.4,45.6,52.21,47.79
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,9732,6662,5445,336124,24128,161206,10190,334,453692,70.73,54.85,45.15,52.3,47.7
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,58589,2007,16517,1502403,115834,703624,77713,1254,1863408,73.18,55.79,44.21,53.39,46.61
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,2673,123,917,156539,10368,140099,10375,493,598443,55.03,57.62,42.38,53.1,46.9
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,7897,178,3277,158414,22668,183396,9388,365,818921,63.06,55.51,44.49,52.82,47.18
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,4571,240,1681,254920,18693,166585,4333,433,638625,58.19,57.24,42.76,52.74,47.26
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,24274,245,5683,783306,42077,352929,40043,1410,1059944,66.82,56.13,43.87,52.88,47.12
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,6600,118,2094,304481,19540,129123,14492,143,361045,73.43,55.4,44.6,52.22,47.78
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,268,2406,389410,56086,305557,179116,1038,1077438,60.54,56.92,43.08,53.05,46.95
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,417,10605,2201663,40909,393498,314159,184,6799,59.1,60.67,39.33,51.26,48.74
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,4384,2696,3039279,33184,485723,547335,348,64532,59.4,62.31,37.69,52.77,47.23
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,138,22250,1701234,8885,120603,48834,109,427,46.14,61.96,38.04,50.5,49.5
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,84,1432,1133349,5247,161310,79984,48,3066,56.7,62.4,37.6,51.85,48.15
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,157,1157,2244882,13507,126494,321192,34,450,45.64,65.93,34.07,52.58,47.42
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,899,1576,2143046,14311,288723,371286,18,23456,58.11,63.74,36.26,53.2,46.8
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,183,1978,2224839,27770,373644,142427,60,1468,52.15,61.9,38.1,50.68,49.32
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,285,1901,2073356,19699,220793,235741,79,20072,54.1,61.18,38.82,52.49,47.51
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,144,682,1017688,7851,136969,66609,24,11059,52.66,63.53,36.47,51.95,48.05
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,252,1274,1413163,17761,268172,97855,136,1515,53.22,62.65,37.35,50.71,49.29
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,188,958,1777879,20477,231696,249736,127,402,56.35,60.62,39.38,51.55,48.45
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,94,439,1582335,7819,195277,45488,115,296,57.39,63.64,36.36,52.48,47.52
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,92,688,1127520,4047,96086,72258,21,1356,56.62,63.79,36.21,54.18,45.82
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,226,830,1340065,7432,141275,28662,853,240,49.09,61.01,38.99,50.16,49.84
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,938,2077,1437144,31301,283142,50688,164,474853,60.6,59.57,40.43,52.98,47.02
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,241,1542,1433067,22065,243163,118673,138,216997,58.27,60.37,39.63,52.47,47.53
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,76565,1020,12708,5819980,128107,990085,687452,257,18782,64.91,59.4,40.6,52.35,47.65
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,754,98,874,497045,4016,43141,168129,34,1723,46.07,68.17,31.83,53.99,46.01
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1585,144,730,1732852,9228,161845,78990,82,231,45.36,65.57,34.43,51.22,48.78
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1750,46,842,1299751,9194,220428,96164,42,819,52.43,63.1,36.9,51.39,48.61
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,4828,56,1004,1905682,36248,297559,228178,85,275,64.12,59.53,40.47,51.28,48.72
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,19335,514,6035,3224399,42174,408808,411558,80,4123,55.1,62.31,37.69,52.18,47.82
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1059,70,602,1370977,6011,132079,81553,413,297,55.26,66.01,33.99,53.74,46.26
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,12843,280,5665,1661307,27038,339899,243993,286,11058,66.55,58.95,41.05,52.34,47.66
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,4449,163,1912,2833443,27155,347344,454487,276,366,53.17,62.71,37.29,51.28,48.72
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,4043,141,1345,1870543,28588,326793,143476,52,1540,53.28,61.47,38.53,50.33,49.67
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,1989,100,759,1105676,9554,193276,33677,68,260,53.53,61.91,38.09,50.26,49.74
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,1887,177,945,1165505,8356,140947,155681,42,812,55.54,65.55,34.45,52.71,47.29
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,5647,177,1122,2342076,34184,339457,327583,15,356,61.71,60.24,39.76,51.36,48.64
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,2146,114,1284,996562,9105,134089,30479,56,572,46.01,64.99,35.01,51.55,48.45
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,1908,122,754,1243527,10528,158264,153146,30,378,52.74,63.81,36.19,51.23,48.77
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,14211,209,7406,2869976,32475,357846,104307,373,4278,51.58,61.51,38.49,51.06,48.94
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,80037,2643,15792,1410852,79700,352758,178807,366,53027,79.15,55.31,44.69,53.09,46.91
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,1749,88,37403,708397,7216,177502,7942,42,104,63.67,56.09,43.91,49.64,50.36
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,217368,2804,358662,3751322,214074,1096334,439270,1759,2851,81.27,52.12,47.88,50.27,49.73
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,63273,435,190314,3044145,90704,896325,211035,237,1112,76.23,52.91,47.09,50.01,49.99
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,15396,236,83334,2391675,29494,598412,123749,138,401,69.66,55.11,44.89,50.34,49.66
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,3651,39,14089,1452956,16103,337972,38304,87,164,60.9,57.49,42.51,51.39,48.61
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,9155,256,169945,1879494,20547,500057,105012,138,313,68.61,55.08,44.92,50.05,49.95
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,18604,148,55899,2115455,54771,595211,76098,157,435,66.29,55.49,44.51,50.18,49.82
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,100322,990,256762,3537399,103399,961161,173785,756,1620,75.37,53.48,46.52,50.35,49.65
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,15673,438,876299,909872,46496,465692,78590,10,160,82.8,50.4,49.6,49.53,50.47
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,4915,29,16483,993666,13620,264949,53292,79,115,68.3,55.25,44.75,49.62,50.38
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,34097,199,97711,2760502,47472,754141,168881,305,520,74.83,53.83,46.17,50.24,49.76
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,5585,450,47579,1435072,35755,381940,128617,110,184,75.04,52.84,47.16,49.38,50.62
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,8960,108,16909,1673652,29271,441044,32483,199,183,68.12,55.55,44.45,50.35,49.65
